Dialogue_ID,Utterance_ID,Unique_ID,Utterance,Emotion,target_stress,video_path,audio_path,duration,Speaker,split,word_count
0,0,train_dia0_utt0,also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,0,train_splits/dia0_utt0.mp4,MELD_Audio/train_dia0_utt0.wav,5.672333333333333,Chandler,train,16
0,1,train_dia0_utt1,You must've had your hands full.,neutral,0,train_splits/dia0_utt1.mp4,MELD_Audio/train_dia0_utt1.wav,1.5014999999999998,The Interviewer,train,6
0,2,train_dia0_utt2,That I did. That I did.,neutral,0,train_splits/dia0_utt2.mp4,MELD_Audio/train_dia0_utt2.wav,2.919583333333333,Chandler,train,6
0,3,train_dia0_utt3,So let's talk a little bit about your duties.,neutral,0,train_splits/dia0_utt3.mp4,MELD_Audio/train_dia0_utt3.wav,2.75275,The Interviewer,train,9
0,4,train_dia0_utt4,My duties? All right.,surprise,0,train_splits/dia0_utt4.mp4,MELD_Audio/train_dia0_utt4.wav,6.464791666666666,Chandler,train,4
0,5,train_dia0_utt5,"Now you'll be heading a whole division, so you'll have a lot of duties.",neutral,0,train_splits/dia0_utt5.mp4,MELD_Audio/train_dia0_utt5.wav,3.2115416666666663,The Interviewer,train,14
0,6,train_dia0_utt6,I see.,neutral,0,train_splits/dia0_utt6.mp4,MELD_Audio/train_dia0_utt6.wav,3.0864166666666666,Chandler,train,2
0,7,train_dia0_utt7,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,0,train_splits/dia0_utt7.mp4,MELD_Audio/train_dia0_utt7.wav,5.714041666666667,The Interviewer,train,17
0,8,train_dia0_utt8,Good to know.,neutral,0,train_splits/dia0_utt8.mp4,MELD_Audio/train_dia0_utt8.wav,1.001,Chandler,train,3
0,9,train_dia0_utt9,We can go into detail,neutral,0,train_splits/dia0_utt9.mp4,MELD_Audio/train_dia0_utt9.wav,2.2105416666666664,The Interviewer,train,5
0,10,train_dia0_utt10,No don't I beg of you!,fear,1,train_splits/dia0_utt10.mp4,MELD_Audio/train_dia0_utt10.wav,2.002,Chandler,train,6
0,11,train_dia0_utt11,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",neutral,0,train_splits/dia0_utt11.mp4,MELD_Audio/train_dia0_utt11.wav,8.299958333333333,The Interviewer,train,26
0,12,train_dia0_utt12,Really?!,surprise,0,train_splits/dia0_utt12.mp4,MELD_Audio/train_dia0_utt12.wav,3.0864166666666666,Chandler,train,1
0,13,train_dia0_utt13,Absolutely. You can relax,neutral,0,train_splits/dia0_utt13.mp4,MELD_Audio/train_dia0_utt13.wav,3.128125,The Interviewer,train,4
1,0,train_dia1_utt0,But then who? The waitress I went out with last month?,surprise,0,train_splits/dia1_utt0.mp4,MELD_Audio/train_dia1_utt0.wav,2.460789756115614,Joey,train,11
1,1,train_dia1_utt1,You know? Forget it!,sadness,0,train_splits/dia1_utt1.mp4,MELD_Audio/train_dia1_utt1.wav,2.210539950408941,Rachel,train,4
