file_id,transcripcion,emocion_target,valencia,activacion,target_stress,path_video,path_audio,duration,session,escenario,split
MSP-IMPROV-S07A-M01-T-MF01,I am going shopping.,A,2.36,3.2,0,./data/RAW/MSP-Improv/Video/session1/S07A/T/MSP-IMPROV-S07A-M01-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session1/S07A/T/MSP-IMPROV-S07A-M01-T-MF01.wav,1.3847166666666666,session1,T,train
MSP-IMPROV-S03A-F03-T-FM01,Ella made the pudding.,A,1.72,2.84,0,./data/RAW/MSP-Improv/Video/session3/S03A/T/MSP-IMPROV-S03A-F03-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session3/S03A/T/MSP-IMPROV-S03A-F03-T-FM01.wav,3.219883333333333,session3,T,train
MSP-IMPROV-S01H-M06-T-MF01,How can I not?!,H,4.321429,2.678571,0,./data/RAW/MSP-Improv/Video/session6/S01H/T/MSP-IMPROV-S01H-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S01H/T/MSP-IMPROV-S01H-M06-T-MF01.wav,1.5849166666666668,session6,T,dev
MSP-IMPROV-S03H-F03-T-FM01,Ellen Jorgensen made the pudding .,H,3.241379,2.689655,0,./data/RAW/MSP-Improv/Video/session3/S03H/T/MSP-IMPROV-S03H-F03-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session3/S03H/T/MSP-IMPROV-S03H-F03-T-FM01.wav,3.186516666666667,session3,T,train
MSP-IMPROV-S10A-M06-T-MF01,I don't know how she could miss this opportunity.,A,2.576923,3.076923,0,./data/RAW/MSP-Improv/Video/session6/S10A/T/MSP-IMPROV-S10A-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S10A/T/MSP-IMPROV-S10A-M06-T-MF01.wav,4.4544500000000005,session6,T,dev
MSP-IMPROV-S07H-F02-T-FM01,I am going shopping .,H,3.703704,3.259259,0,./data/RAW/MSP-Improv/Video/session2/S07H/T/MSP-IMPROV-S07H-F02-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session2/S07H/T/MSP-IMPROV-S07H-F02-T-FM01.wav,3.069733333333333,session2,T,train
MSP-IMPROV-S01A-F03-T-FM02,How can I not??,A,1.909091,2.848485,0,./data/RAW/MSP-Improv/Video/session3/S01A/T/MSP-IMPROV-S01A-F03-T-FM02.avi,./data/RAW/MSP-Improv/Audio/session3/S01A/T/MSP-IMPROV-S01A-F03-T-FM02.wav,2.285616666666667,session3,T,train
MSP-IMPROV-S10A-M02-T-MF01,I don't know how she could miss this opportunity.,A,2.074074,3.111111,0,./data/RAW/MSP-Improv/Video/session2/S10A/T/MSP-IMPROV-S10A-M02-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session2/S10A/T/MSP-IMPROV-S10A-M02-T-MF01.wav,3.520183333333333,session2,T,train
MSP-IMPROV-S12S-M05-T-MF01,Dog is insane.,S,2.5,3.71875,1,./data/RAW/MSP-Improv/Video/session5/S12S/T/MSP-IMPROV-S12S-M05-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session5/S12S/T/MSP-IMPROV-S12S-M05-T-MF01.wav,1.95195,session5,T,train
MSP-IMPROV-S11A-F04-T-FM01,It is raining outside.,A,2.628571,3.228571,0,./data/RAW/MSP-Improv/Video/session4/S11A/T/MSP-IMPROV-S11A-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S11A/T/MSP-IMPROV-S11A-F04-T-FM01.wav,1.3179833333333333,session4,T,dev
